gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
XP_719073.1,922.2363343951307,-4.215192677180347e-6,0.03563833934802286,0.9630095234010689,0.995707364854018
XP_719072.1,75.9601851130727,-0.0017938361103313036,0.03636670910851425,0.6326550073380242,0.9465904296352216
XP_719071.2,3275.7508633108655,-0.0054661095700873,0.03635480839465826,0.4443887138776475,0.9035930081150739
XP_719068.2,3692.572718916901,-0.008927498787624855,0.03652050202905973,0.3698881973176918,0.8923716317195922
XP_019330598.1,9621.428842146604,-0.005064568174622533,0.03675214087325886,0.2532267419815407,0.8627425717583851
XP_719061.1,672.8391123210445,-0.013297002127141522,0.03888103861624732,0.13721164491266535,0.8465172436832317
XP_719062.1,68.63731411824955,-0.008726680829194332,0.03750284111443683,0.16072039065671753,0.84788342586634
XP_719059.1,1376.8320635888247,-0.004633572608317045,0.03568597355032293,0.635558841452057,0.9465904296352216
XP_719058.1,12651.29541977846,-0.0073192234224043265,0.036833803229595216,0.15370845681369022,0.84788342586634
XP_719055.1,2380.310636904559,0.010092243703715172,0.03600188718095149,0.4021393629294635,0.8948197471119627
XP_719053.1,2720.9744112745066,-0.007259758084059574,0.03495602579305345,0.5882661272532497,0.9413076012391989
XP_719052.1,2263.7696657290094,-0.02737871162759097,0.04994071985776305,0.032461392098214525,0.6881126897427171
XP_719051.1,568.0149595643385,-0.013425477437158223,0.03935760023128553,0.07396197027510308,0.7939576646694817
XP_719050.1,47900.759723163326,-0.0025284927412223906,0.03373513930216109,0.915387769996377,0.9894187018040674
XP_719048.1,1939.959125101295,-0.01753991458224041,0.04121204777715947,0.08283469822870802,0.8087421536344298
XP_719047.1,146073.17875781842,-0.001081014557455684,0.02831870916991666,0.6935129491541359,0.9589720598846504
XP_719046.1,65.21728896902961,-0.008192230857133529,0.03739013768697877,0.15958865373228126,0.84788342586634
XP_719045.1,168.0612770422704,0.0010569255787578576,0.03554972168584763,0.8980858817281152,0.9856599349591957
XP_719044.2,8123.214156834427,-0.01358032229574378,0.033107458107482654,0.40148709898872936,0.8948197471119627
XP_719043.1,27844.01894839872,-0.010491436275127159,0.03691447553156019,0.3211296863304708,0.8809738599473261
