gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
ERG251,4918.456493740027,2.0146867246798292,0.1539232188563748,1.3717289081785265e-41,8.229001720162982e-38
ERG6,16712.67509014776,1.4204922973552332,0.15864370257482235,1.4607218076855382e-20,1.460478354050924e-17
ERG3,6328.1835909672145,1.1177179371039812,0.12460862895860104,1.0760085062875955e-20,1.460478354050924e-17
ERG1,11401.13681227483,0.9851146316955828,0.09490204544710396,7.766029906741287e-27,2.329420670527049e-23
ERG11,16146.669776060706,0.9789454888461552,0.15829852487135948,2.2056160352038523e-11,7.3508281084377275e-9
ERG24,5620.084085684017,0.9190085931347646,0.1260908443333399,1.2307394320481714e-14,7.383205852856979e-12
ERG25,3252.922829334484,0.8875510531737276,0.1604720587727218,1.191219614576482e-9,3.107011507758398e-7
ERG2,3580.4536050307916,0.85685815596219,0.14979600946164623,4.5793299302263373e-10,1.2487000114285365e-7
ERG4,4793.574093961032,0.8272250701334234,0.1144844315824098,1.9555778847791535e-14,9.46502113285952e-12
ALG13,661.8727984141353,0.7095884737589262,0.11874128835263278,9.986335226703182e-11,3.15305394868381e-8
MDR1,1002.7221997566712,0.7043506213469017,0.2065899768835874,2.240701284506006e-5,0.00274038594335
ERG5,31097.175815175644,0.6757820559840253,0.09425161671461076,4.0800510816932745e-14,1.7483018885055682e-11
FRP1,336.9423370421806,0.640441079933126,0.16387465624318143,3.319620919700965e-6,4.7415252136395454e-4
SLD1,1672.0575575258192,0.5635969512800993,0.10312551304801604,2.0533035518925684e-9,4.927107203121407e-7
ERG10,20791.77610261871,0.5434031356052956,0.11162137125147388,4.904330272787879e-8,1.0507527609448032e-5
PGA45,2339.192715679309,0.5294191487195495,0.13207906097466388,2.2182444434113105e-6,3.412114978467808e-4
ERG26,2592.4801412891215,0.5246842410114895,0.09023018769173234,3.248095263762019e-10,9.278725470146837e-8
ERG7,7084.28379533764,0.5008541013500055,0.06783968825677968,1.0363403515182903e-14,6.907784187509138e-12
ERG13,32849.54770381133,0.4655190129463493,0.1026119535846043,4.16985915152399e-7,7.357348544115416e-5
MSC7,8209.666898047206,0.4508501425570594,0.08139287868984853,1.3850602164199244e-9,3.462073432626303e-7
