# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/home/irenest/irene/Candida_susanne/gff/GCF_000182965.3_ASM18296v3_genomic.gff" "-o" "/home/irenest/irene/RNAseq_c_albicans/candida_RNAseq_CDS_counts.txt" "-t" "CDS" "-g" "ID" "-p" "-T" "8" "align/Y10_S10_PEAligned.out.bam" "align/Y10_S10_PEAligned.out.sorted.bam" "align/Y11_S11_PEAligned.out.bam" "align/Y11_S11_PEAligned.out.sorted.bam" "align/Y12_S12_PEAligned.out.bam" "align/Y12_S12_PEAligned.out.sorted.bam" "align/Y1_S1_PEAligned.out.bam" "align/Y1_S1_PEAligned.out.sorted.bam" "align/Y2_S2_PEAligned.out.bam" "align/Y2_S2_PEAligned.out.sorted.bam" "align/Y3_S3_PEAligned.out.bam" "align/Y3_S3_PEAligned.out.sorted.bam" "align/Y4_S4_PEAligned.out.bam" "align/Y4_S4_PEAligned.out.sorted.bam" "align/Y5_S5_PEAligned.out.bam" "align/Y5_S5_PEAligned.out.sorted.bam" "align/Y6_S6_PEAligned.out.bam" "align/Y6_S6_PEAligned.out.sorted.bam" "align/Y7_S7_PEAligned.out.bam" "align/Y7_S7_PEAligned.out.sorted.bam" "align/Y8_S8_PEAligned.out.bam" "align/Y8_S8_PEAligned.out.sorted.bam" "align/Y9_S9_PEAligned.out.bam" "align/Y9_S9_PEAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	align/Y10_S10_PEAligned.out.bam	align/Y10_S10_PEAligned.out.sorted.bam	align/Y11_S11_PEAligned.out.bam	align/Y11_S11_PEAligned.out.sorted.bam	align/Y12_S12_PEAligned.out.bam	align/Y12_S12_PEAligned.out.sorted.bam	align/Y1_S1_PEAligned.out.bam	align/Y1_S1_PEAligned.out.sorted.bam	align/Y2_S2_PEAligned.out.bam	align/Y2_S2_PEAligned.out.sorted.bam	align/Y3_S3_PEAligned.out.bam	align/Y3_S3_PEAligned.out.sorted.bam	align/Y4_S4_PEAligned.out.bam	align/Y4_S4_PEAligned.out.sorted.bam	align/Y5_S5_PEAligned.out.bam	align/Y5_S5_PEAligned.out.sorted.bam	align/Y6_S6_PEAligned.out.bam	align/Y6_S6_PEAligned.out.sorted.bam	align/Y7_S7_PEAligned.out.bam	align/Y7_S7_PEAligned.out.sorted.bam	align/Y8_S8_PEAligned.out.bam	align/Y8_S8_PEAligned.out.sorted.bam	align/Y9_S9_PEAligned.out.bam	align/Y9_S9_PEAligned.out.sorted.bam
cds-XP_719073.1	NC_032089.1	4409	4720	-	312	616	616	722	722	889	889	1848	1848	1299	1299	1341	1341	850	850	936	936	1243	1243	488	488	425	425	753	753
cds-XP_719072.1	NC_032089.1	8597	8908	-	312	37	37	20	20	24	24	162	162	144	144	191	191	65	65	93	93	171	171	11	11	22	22	8	8
cds-XP_719071.2	NC_032089.1	10718	11485	+	768	3772	3772	4070	4070	5196	5196	2987	2987	2701	2701	3770	3770	1686	1686	2489	2489	3309	3309	3268	3268	2287	2287	3747	3747
cds-XP_719068.2	NC_032089.1	12163	13701	+	1539	4394	4394	4898	4898	4265	4265	3850	3850	4168	4168	3155	3155	2705	2705	3392	3392	3105	3105	4144	4144	2192	2192	4339	4339
cds-XP_019330598.1	NC_032089.1;NC_032089.1	13778;13868	13816;14917	+;+	1089	14718	14718	16031	16031	7689	7689	3895	3895	7928	7928	9044	9044	6631	6631	12260	12260	6182	6182	14460	14460	6221	6221	9620	9620
cds-XP_719061.1	NC_032089.1	14910	15761	-	852	806	806	1033	1033	585	585	629	629	644	644	652	652	534	534	853	853	490	490	781	781	470	470	638	638
cds-XP_719062.1	NC_032089.1	15595	16116	+	522	88	88	81	81	63	63	77	77	52	52	62	62	42	42	108	108	67	67	75	75	40	40	77	77
cds-XP_719059.1	NC_032089.1	16600	17328	-	729	1421	1421	1438	1438	1365	1365	1264	1264	1549	1549	1592	1592	1292	1292	1626	1626	1145	1145	1594	1594	847	847	1445	1445
cds-XP_719058.1	NC_032089.1	17338	18960	+	1623	16925	16925	19023	19023	10443	10443	8725	8725	11205	11205	12934	12934	9695	9695	14913	14913	10425	10425	16687	16687	7863	7863	12747	12747
cds-XP_719055.1	NC_032089.1	18948	19628	-	681	2150	2150	2290	2290	2640	2640	3314	3314	2804	2804	2550	2550	1989	1989	2447	2447	2086	2086	2630	2630	1492	1492	2583	2583
cds-XP_719053.1	NC_032089.1	19615	21714	-	2100	2623	2623	2959	2959	2756	2756	2873	2873	2957	2957	3084	3084	2358	2358	3156	3156	2468	2468	2950	2950	1942	1942	2701	2701
cds-XP_719052.1	NC_032089.1	22270	25326	+	3057	2351	2351	2925	2925	1899	1899	2413	2413	2820	2820	2299	2299	2109	2109	2933	2933	2285	2285	2186	2186	1376	1376	1831	1831
cds-XP_719051.1	NC_032089.1	25381	27249	-	1869	732	732	940	940	454	454	406	406	464	464	467	467	470	470	707	707	405	405	739	739	413	413	603	603
