From	Entry	Gene Names (primary)
XP_019330957.1	A0A1D8PN83	
XP_723440.2	A0A1D8PEG2	ZWF1
XP_720460.1	Q5AF98	ZUO1
XP_714852.1	Q59Z38	ZTA1
XP_717137.1	Q5A5R5	ZSF1
XP_722578.2	A0A1D8PGH6	ZRT3
XP_722627.2	A0A1D8PGN5	ZRT2
XP_715421.2	A0A1D8PMR6	ZRT101
XP_722581.2	A0A1D8PGL8	ZRC1
XP_718123.1	Q5A934	ZPR1
XP_714604.1	A0A1D8PNA4	ZNC1
XP_722229.1	Q5AKV1	ZMS1
XP_019330887.1	A0A1D8PKQ8	ZFU2
XP_717228.2	A0A1D8PM39	ZDS1
XP_719524.2	A0A1D8PG41	ZCF9
XP_721789.2	A0A1D8PJ72	ZCF8
XP_721762.2	A0A1D8PJ96	ZCF7
XP_722545.2	A0A1D8PGF3	ZCF6
XP_716563.2	A0A1D8PME2	ZCF5
XP_716535.2	A0A1D8PE43	ZCF4
XP_719345.1	A0A1D8PU45	ZCF39
XP_718675.1	A0A1D8PRL9	ZCF38
XP_716612.1	A0A1D8PKB5	ZCF35
XP_723152.1	Q5ANG4	ZCF32
XP_723136.1	Q5ANI0	ZCF31
XP_716320.1	Q5A3L9	ZCF30
XP_713034.1	Q59TS6	ZCF3
XP_716956.2	A0A1D8PRB7	ZCF29
XP_723453.2	A0A1D8PEH1	ZCF28
XP_722720.2	A0A1D8PLA4	ZCF27
XP_722645.1	A0A1D8PLH4	ZCF26
XP_722640.1	A0A1D8PLI4	ZCF25
XP_019330616.1	A0A1D8PCM7	ZCF24
XP_713894.1	Q59WB9	ZCF23
XP_720560.2	A0A1D8PNF7	ZCF22
XP_712620.2	A0A1D8PL89	ZCF21
XP_711349.2	A0A1D8PN93	ZCF20
XP_715866.2	A0A1D8PDI4	ZCF2
XP_713501.2	A0A1D8PT64	ZCF19
XP_019331002.1	A0A1D8PPQ3	ZCF18
XP_718128.2	A0A1D8PCF5	ZCF17
XP_711004.2	A0A1D8PJX7	ZCF16
XP_720503.1	Q5AF55	ZCF15
XP_712030.2	A0A1D8PNN1	ZCF14
XP_712029.2	A0A1D8PNM8	ZCF13
XP_019331068.1	A0A1D8PSC7	ZCF11
XP_714869.2	A0A1D8PHW6	ZCF10
XP_719954.2	A0A1D8PJJ7	ZCF1
XP_714462.1	Q59Y31	YWP1
XP_715177.2	A0A1D8PSH7	YVH1
XP_716049.2	Q5A2J7	YVC1
XP_019330976.1	A0A1D8PNY8	YUH2
XP_723501.1	Q5APF0	YTM1
XP_712810.1	Q59T36	YTH1
XP_719320.2	A0A1D8PU31	YTA6
XP_019330845.1	A0A1D8PJJ9	YSY6
XP_711478.1	Q59P50	YSH1
XP_719892.1	Q5ADP5	YSA1
XP_718634.1	A0A1D8PRQ3	YRB1
XP_714835.1	A0A1D8PHR9	YPT72
XP_721474.1	Q5AI78	YPT7
XP_715865.1	Q5A2B1	YPT53
XP_715017.1	A0A1D8PFT9	YPT52
XP_720629.1	Q5AG56	YPT35
XP_710395.2	A0A1D8PTI2	YPT31
XP_721550.1	Q5AI00	YPT1
XP_721322.1	Q5AH56	YPS7
XP_712617.2	A0A1D8PL54	YPP1
XP_711887.1	Q59QB9	YPK1
XP_715048.1	Q59ZU1	YPI2
XP_715028.1	Q59ZW4	YPI1
XP_713887.1	Q59WC6	YPD1
XP_720311.1	A0A1D8PQR5	YOX1
XP_719340.1	Q5ACR4	YOS9
XP_714429.2	A0A1D8PIM2	YOR1
XP_720618.1	Q5AG68	YNK1
XP_721001.2	Q5AHB8	YNG2
XP_718052.2	A0A1D8PQ66	YMX6
XP_720313.1	A0A1D8PQQ9	YML6
XP_716560.2	A0A1D8PME0	YME1
XP_723420.1	A0A1D8PED5	YMC2
XP_713891.1	Q59WC2	YMC1
XP_713216.2	A0A1D8PSH5	YKU80
XP_721473.1	Q5AI79	YKT6
XP_019331119.1	A0A1D8PU06	YKE2
XP_720971.1	Q5AHE9	YIM1
XP_711249.1	Q59NH3	YHM2
XP_713818.2	A0A1D8PPR4	YHM1
XP_711484.1	Q59P44	YHC1
XP_711049.1	Q59MV6	YHB5
XP_719397.1	A0A1D8PU81	YHB4
XP_711046.1	Q59MV9	YHB1
XP_711541.1	Q59PA3	YFH1
XP_714554.2	A0A1D8PIJ0	YEA4
XP_717369.2	A0A1D8PSQ3	YDJ1
XP_715413.1	Q5A0Z2	YDC1
XP_713140.2	A0A1D8PI01	YCS4
XP_710367.1	A0A1D8PT03	YCP4
XP_714706.1	A0A1D8PKB4	YCK2
XP_721701.2	A0A1D8PJE8	YCG1
XP_721319.2	A0A1D8PR42	YCF1
XP_722236.2	Q5AKU3	YBP1
XP_713564.2	A0A1D8PDE8	YBN5
XP_711340.2	Q59NW5	YBL053
XP_710035.2	A0A1D8PT90	YBH3
XP_710598.2	A0A1D8PH81	YAK1
XP_720031.2	A0A1D8PJS2	YAH1
XP_710529.1	Q59LC9	YAF9
XP_720330.1	Q9P840	YAE1
XP_719434.1	A0A1D8PUB4	XYL2
XP_715538.1	Q5A1D7	XUT1
XP_721488.2	P29717	XOG1
XP_710091.2	A0A1D8PMB3	XKS1
XP_719988.1	Q5AEH7	WSS1
XP_715049.1	A0A1D8PFX5	WSC4
XP_719101.2	A0A1D8PPZ4	WSC2
XP_723083.2	A0A1D8PJZ5	WSC1
XP_716295.1	Q5A3P4	WRS1
XP_719813.1	Q5ADX8	WOR4
XP_717331.2	Q5A6T8	WOR3
XP_723202.1	Q5ANB1	WOR2
XP_723567.2	Q5AP80	WOR1
XP_721334.2	A0A1D8PR24	WHI3
XP_019330774.1	A0A1D8PHF8	WH11
XP_713903.2	A0A1D8PF22	WBP1
XP_713640.2	Q59VQ8	WAR1
XP_711299.2	A0A1D8PU03	WAL1
XP_721472.2	Q5AI80	VTS1
XP_019330850.1	A0A1D8PJW1	VTI1
XP_711583.1	Q59PH5	VTC4
XP_715157.2	A0A1D8PSJ6	VTC3
XP_716030.2	A0A1D8PI26	VRP1
XP_716540.2	Q5A477	VRG4
XP_717762.2	A0A1D8PJ06	VPS8
XP_711691.2	A0A1D8PT39	VPS75
XP_720397.1	A0A1D8PQI1	VPS70
XP_719456.2	A0A1D8PGA1	VPS54
XP_719053.1	Q5AB78	VPS53
XP_719419.1	A0A1D8PUA9	VPS52
XP_719130.2	A0A1D8PQ10	VPS51
XP_723544.2	A0A1D8PEQ9	VPS41
XP_720644.1	Q5AG40	VPS4
XP_720919.1	A0A1D8PH22	VPS36
XP_712805.1	Q59T42	VPS35
XP_710922.1	Q59MF4	VPS33
XP_712596.1	Q59SD1	VPS28
XP_718993.2	Q5ABD9	VPS27
XP_019330742.1	A0A1D8PG90	VPS24
XP_713948.1	Q59WF8	VPS23
XP_711153.1	Q59N31	VPS22
XP_714216.1	Q59X89	VPS21
XP_721018.1	Q5AH99	VPS20
XP_716784.1	Q5A501	VPS2
XP_718167.1	Q5A8Z0	VPS17
XP_712236.2	A0A1D8PDC9	VPS16
XP_714336.2	A0A1D8PPK3	VPS15
XP_711864.2	A0A1D8PMH5	VPS13
XP_711851.1	A0A1D8PMF6	VPS11
XP_715712.1	A0A1D8PN45	VPS1
XP_716306.2	A0A1D8PFF4	VPH2
XP_712251.1	Q59R99	VPH1
XP_715551.1	P87220	VMA8
XP_720930.2	A0A1D8PH17	VMA7
XP_710332.2	A0A1D8PKX3	VMA6
XP_716007.1	Q5A2U9	VMA5
XP_019331060.1	A0A1D8PS38	VMA4
XP_711292.1	A0A1D8PU20	VMA22
XP_711700.1	Q59PT0	VMA2
XP_019331087.1	A0A1D8PSX0	VMA13
XP_721376.1	Q5AH00	VMA11
XP_713123.1	Q59U85	VMA10
XP_716818.2	A0A1D8PMU9	VIP1
